genres,original_language,popularity,production_companies,release_date,budget,runtime,vote_average
Mystery-Crime-Horror,en,454.802,Cross Creek Pictures-Le Grisbi Productions,2022-12-22,72000000.0,130.0,7.005
Crime-History-Drama,en,452.285,Apple Studios-Imperative Entertainment-Sikelia Productions-Appian Way,2023-10-18,200000000.0,206.0,7.525
Adventure-Action-Science Fiction,en,441.814,Lucasfilm Ltd.-20th Century Fox,1977-05-25,11000000.0,121.0,8.2
Animation-Action-Adventure-Fantasy-Thriller,ja,438.335,ufotable-Aniplex-Shueisha-STUDIO MAUSU-TOHO,2020-10-16,15800000.0,117.0,8.281
Horror,es,435.109,Film Tank-Cinépolis Producciones-Cinema Máquina,2022-09-22,1704500.0,100.0,6.8
Science Fiction-Adventure-Thriller,en,434.038,Raimi Productions-Beck/Woods-Bron Studios-Columbia Pictures,2023-03-02,45000000.0,92.0,6.229
Comedy-Crime-Mystery,en,430.749,T-Street Productions,2022-11-23,40000000.0,140.0,7.095
Drama-History,en,423.702,Syncopy-Universal Pictures-Atlas Entertainment,2023-07-19,100000000.0,181.0,8.111
Animation-Family-Adventure-Drama-Comedy,en,421.59,Pixar-Walt Disney Pictures,2015-06-17,175000000.0,95.0,7.914
War-Action-Drama,uk,418.74,UM Group,2022-05-03,1000000.0,120.0,7.604
Mystery-Thriller-Crime,en,418.706,20th Century Studios-Scott Free Productions-The Mark Gordon Company-Genre Films-Agatha Christie Limited,2023-09-13,60000000.0,104.0,6.794
Action-Comedy-Crime-Thriller,en,407.163,87North Productions-Universal Pictures,2022-11-30,20000000.0,112.0,7.576
