title,popularity,budget,runtime,vote_average,vote_count,release_year,release_month,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Outros,Romance,Science Fiction,Thriller,popularity_per_budget,vote_weighted,runtime_per_budget,vote_popularity_weighted,budget_log,vote_count_log,continent_Africa,continent_America_do_Norte,continent_Asia,continent_Europa,continent_Outros
The Outlaws,39.38,15.587694334144626,121.0,7.759,5.497168225293202,2017,10,1,0,0,1,0,0,0,0,0,0,0,0,0,2.374049051466965,42.652528260049955,7.294564124619167,305.54942000000005,2.8086611152879417,1.8713664243280277,False,False,True,False,False
Scoob!,39.356,18.31532023940565,93.0,7.1,7.307872780763706,2020,7,0,0,1,0,0,1,0,0,1,1,0,0,0,2.037553585040173,51.88589674342231,4.814830862098184,279.4276,2.9608985758102415,2.117203593037175,False,True,False,False,False
City of God,39.346,15.009433329466965,130.0,8.421,8.752581469146884,2002,8,0,0,0,1,1,0,0,0,0,0,0,0,0,2.4576759957880423,73.7054885516859,8.120212460032672,331.33266599999996,2.77317813159564,2.2775320160317536,False,False,False,True,False
Apocalypse Now,39.261,17.265498135541893,147.0,8.285,8.938006576471201,1979,8,0,0,0,0,1,0,0,0,0,1,0,0,0,2.149462320088826,74.0513844860639,8.047960088970159,325.27738500000004,2.905013932557636,2.29636645492988,False,True,False,False,False
The Da Vinci Code,39.207,18.643824303266577,149.0,6.724,9.087720658428273,2006,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1.995894454904092,61.10583370727171,7.585081076866624,263.62786800000003,2.9777630040964063,2.3113189077982894,False,True,False,False,False
Insidious: Chapter 2,39.166,15.424948670398354,106.0,6.7,8.303752415563412,2013,9,0,0,0,0,0,0,0,1,0,0,0,0,1,2.3845432205572976,55.635141184274865,6.453597032606689,262.4122,2.7988014392758886,2.2304178043252603,False,True,False,False,False
The Butterfly Effect,39.163,16.380459992348886,113.0,7.6,8.816111895794005,2004,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2.2532775321965057,67.00245040803443,6.501554046886223,297.63879999999995,2.8553465862504646,2.284025106670656,False,True,False,False,False
A Bad Moms Christmas,39.157,17.147715103853763,104.0,6.3,7.614805364711073,2017,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1576820980446625,47.97327379767976,5.730748989877798,246.68909999999997,2.8985446631912657,2.153482277120042,False,True,False,False,False
The Hitman's Bodyguard,39.148,17.216707972959764,118.0,6.882,8.61195776786066,2017,8,1,0,1,0,0,0,0,0,0,0,0,0,0,2.1490161701065804,59.26749335841706,6.47756994156985,269.416536,2.9023391934519456,2.2630079241755006,False,True,False,False,False
The Burning Sea,39.147,15.931766193248746,104.0,6.7,4.976733742420574,2021,10,1,0,0,0,1,0,0,0,0,0,0,0,1,2.3120446829468504,33.34411607421785,6.142300738919264,262.2849,2.8291915139907386,1.7878742218230284,False,False,False,True,False
Home,39.146,18.72078534381011,94.0,6.781,8.16961956172385,2015,3,0,0,1,0,0,1,1,0,0,1,0,1,0,1.9850122253010074,55.39819024804943,4.766544453540456,265.449026,2.9816731731183266,2.215895798136635,False,True,False,False,False
The BFG,39.146,18.757152987716434,117.0,6.3,8.09132127353041,2016,6,0,1,0,0,0,1,1,0,0,0,0,0,0,1.9813583477507182,50.975324023241576,5.921905857222552,246.6198,2.9835156023702574,2.207320252250235,False,True,False,False,False
Turbo: A Power Rangers Movie,39.145,16.118095750958314,99.0,5.8,5.5093883366279774,1997,3,1,1,0,0,0,1,1,0,0,0,0,1,0,2.286761364669231,31.954452352442267,5.783353559899192,227.04100000000003,2.840136135027038,1.8732454942989716,False,True,False,False,False
xXx,39.083,18.064005814299346,124.0,5.9,8.260751354700513,2002,8,1,1,0,0,0,0,0,0,0,0,0,0,1,2.0500937935449537,48.73843299273303,6.504404226890829,230.5897,2.94780204478482,2.225785185182901,False,True,False,False,False
Bird Box,39.045,16.801192546169812,124.0,6.863,9.086136768516877,2018,12,0,0,0,0,1,0,0,0,0,0,0,1,1,2.193392375186746,62.35815664233133,6.965825445592431,267.965835,2.8792654520296743,2.3111618837962724,False,True,False,False,False
Martyrs,39.018,15.687312888712007,99.0,7.3,7.716015266642587,2008,9,0,0,0,0,1,0,0,1,0,0,0,0,1,2.3381835206310178,56.32691144649088,5.932650790467752,284.8314,2.8146487234361532,2.165162168646074,False,False,False,True,False
Alice Doesn't Live Here Anymore,38.936,14.403297778421795,112.0,7.0,6.100318952020064,1974,12,0,0,0,0,1,0,0,0,0,0,1,0,0,2.5277703878804934,42.70223266414045,7.271170213751162,272.552,2.7345816279505355,1.9601397058579975,False,True,False,False,False
Anna,38.927,17.341871111992198,119.0,6.7,7.735870319952567,2019,6,1,0,0,0,0,0,0,0,0,0,0,0,1,2.122302559118351,51.8303311436822,6.487887700955219,260.8109,2.9091864851789153,2.1674375745645973,False,False,False,True,False
Candyman,38.878,17.034386422832473,91.0,6.1,7.1098794630722715,2021,8,0,0,0,0,0,0,0,1,1,0,0,0,1,2.1557705978163155,43.370264724740856,5.045916055385685,237.1558,2.8922802923091946,2.093083005263759,False,True,False,False,False
The Pianist,38.77,17.370858648025116,150.0,8.382,8.973604867142505,2002,9,0,0,0,0,1,0,0,0,0,1,0,0,0,2.1104076158229987,75.21675599638847,8.165105555157332,324.97014,2.910765639997766,2.2999420900510863,False,True,False,False,False
You Only Live Twice,38.756,16.066802461833923,117.0,6.6,7.614312146452,1967,6,1,1,0,0,0,0,0,0,0,0,0,0,1,2.2708413064877915,50.25446016658319,6.855414203196191,255.78959999999998,2.8371352000937793,2.153425023083799,False,True,False,False,False
Limitless,38.754,17.11134746100564,105.0,7.188,9.218110109240543,2011,3,0,0,0,0,0,0,0,0,1,0,0,1,1,2.1397634871418987,66.25977546522103,5.797470355315564,278.56375199999997,2.896538673379569,2.324161646857645,False,True,False,False,False
The Day After Tomorrow,38.677,18.643824303266577,124.0,6.516,8.92996487470684,2004,5,1,1,0,0,0,0,0,0,0,0,0,1,1,1.9689139651675867,58.187651123589774,6.312416466654103,252.019332,2.9777630040964063,2.2955569407604766,False,True,False,False,False
The Day the Earth Stood Still,38.657,18.197537205138154,104.0,5.583,7.99799931797973,2008,12,0,0,0,0,1,0,0,0,0,0,0,1,1,2.0136437078842375,44.65283019228083,5.417361554698004,215.82203099999998,2.954782000240642,2.1970022546221037,False,True,False,False,False
Annie,38.573,17.989897843244528,119.0,6.252,7.113142108707088,2014,12,0,0,1,0,1,1,0,0,0,0,0,0,0,2.0312378886083358,44.47136446363671,6.266489740087417,241.15839599999998,2.943907145307067,2.093485229431972,False,True,False,False,False
Ice Age: Collision Course,38.524,18.46947091764561,95.0,6.1,8.307212626628308,2016,6,0,1,1,0,0,1,0,0,0,1,0,1,0,1.9786875649037208,50.67399702243268,4.8794340843591915,234.9964,2.9688476447799363,2.2307896508250975,False,True,False,False,False
Home Alone 2: Lost in New York,38.514,16.705882371415992,120.0,6.7,9.033603193476129,1992,11,0,1,1,0,0,1,0,0,0,0,0,0,0,2.175209300055907,60.52514139629007,6.777408630802015,258.04380000000003,2.8738969217360877,2.305939779084767,False,True,False,False,False
Ong Bak 2,38.492,15.955576839107596,98.0,6.4,6.289715570908998,2008,12,1,1,0,0,0,0,0,0,0,0,0,0,1,2.2701675304386697,40.25417965381759,5.7798092586248995,246.34879999999998,2.8305967967687122,1.9864645289231955,False,False,True,False,False
